name,ring,quadrant,isNew,description
Composer,adopt,tools,Yes,"Although the idea of dependency management ..."
Canary builds,trial,techniques,Yes,"Many projects have external code dependencies ..."
Apache Kylin,assess,platforms,Yes,"Apache Kylin is an open source analytics solution ..."
JSF,hold,platforms,Yes,"We continue to see teams run into trouble using JSF"
Swift,adopt,lang,Yes,"Swift is a modern programming language for mobile apps and more"
Terraform,adopt,tools,No,"<Insert description>"
k6,adopt,tools,No,"<Insert description>"
Stress testing,adopt,techniques,Yes,"<Insert description>"
Load testing,adopt,techniques,Yes,"<Insert description>"
MongoDB Atlas,adopt,platforms,Yes,"<Insert description>"
Azure Devops,hold,platforms,Yes,"<Insert description>"
Elastic Cloud,assess,platforms,Yes,"<Insert description>"
Cloudinary,assess,platforms,Yes,"<Insert description>"
Loadimpact,adopt,platforms,No,"<Insert description>"
Docker,adopt,tools,No,"-"
SonarCloud.io,adopt,platforms,No,"SonarCloud is the leading product for Continuous Code Quality online, totally free for open-source projects. It supports all major programming languages, including Java, C#, JavaScript, TypeScript, C/C++ and many more. If your code is closed source, SonarCloud also offers a paid plan to run private analyses."
Jest,adopt,tools,No,"Jest is a delightful JavaScript Testing Framework with a focus on simplicity."
React,adopt,tools,No,"A JavaScript library for building user interfaces"
React Native,adopt,tools,No,"A framework for building native apps using React"
Yarn,adopt,tools,No,"Fast, reliable, and secure dependency manager."
